Category,Product,Product ID,Price,Old Price,Description,Image URL,Product URL
Food,Bananas- Bunch,1,$1.45,,None,https://assets.shop.loblaws.ca/products/20175355001/b1/en/front/20175355001_front_a01_@2.png,https://www.loblaws.ca/bananas-bunch/p/20175355001_KG
Food,English Cucumber,2,$1.69,,None,https://assets.shop.loblaws.ca/products/20070132001/b1/en/front/20070132001_front_a01_@2.png,https://www.loblaws.ca/english-cucumber/p/20070132001_EA
Food,Green Onion,3,$1.49,,None,https://assets.shop.loblaws.ca/products/20107500001/b1/en/front/20107500001_front_a01_@2.png,https://www.loblaws.ca/green-onion/p/20107500001_EA
Food,Celery Stalks,4,$2.99,,None,https://assets.shop.loblaws.ca/products/20163119001/b1/en/front/20163119001_front_a01_@2.png,https://www.loblaws.ca/celery-stalks/p/20163119001_EA
Food,Large Grade A Eggs,5,$3.29,,None,https://assets.shop.loblaws.ca/products/20812144001/b1/en/front/20812144001_front_a01_@2.png,https://www.loblaws.ca/large-grade-a-eggs/p/20812144001_EA
Food,Yellow Onions 3lb Bag,6,$2.49,,None,https://assets.shop.loblaws.ca/products/20811994001/b1/en/front/20811994001_front_a01_@2.png,https://www.loblaws.ca/yellow-onions-3lb-bag/p/20811994001_EA
Food,Broccoli,7,$3.99,,None,https://assets.shop.loblaws.ca/products/20145621001/b1/en/front/20145621001_front_a01_@2.png,https://www.loblaws.ca/broccoli/p/20145621001_EA
Food,Raspberries 1/2 Pint,8,$3.99,,None,https://assets.shop.loblaws.ca/products/20128938001/b1/en/front/20128938001_front_a01_@2.png,https://www.loblaws.ca/raspberries-1-2-pint/p/20128938001_EA
Food,Cauliflower,9,$3.99,,None,https://assets.shop.loblaws.ca/products/20135377001/b1/en/front/20135377001_front_a01_@2.png,https://www.loblaws.ca/cauliflower/p/20135377001_EA
Food,Sweet Potato,10,$2.49,,None,https://assets.shop.loblaws.ca/products/20127708001/b1/en/front/20127708001_front_a01_@2.png,https://www.loblaws.ca/sweet-potato/p/20127708001_KG
Food,Strawberries 1LB,11,$2.99,,None,https://assets.shop.loblaws.ca/products/20049778001/b1/en/front/20049778001_front_a01_@2.png,https://www.loblaws.ca/strawberries-1lb/p/20049778001_EA
Food,Lettuce Iceberg,12,$2.99,,None,https://assets.shop.loblaws.ca/products/20135326001/b1/en/front/20135326001_front_a01_@2.png,https://www.loblaws.ca/lettuce-iceberg/p/20135326001_EA
Food,Russet Potatoes 10lb Bag,13,$4.99,,None,https://assets.shop.loblaws.ca/products/20601020001/b1/en/front/20601020001_front_a01_@2.png,https://www.loblaws.ca/russet-potatoes-10lb-bag/p/20601020001_EA
Food,Lemon,14,$1.09,,None,https://assets.shop.loblaws.ca/products/20028593001/b1/en/front/20028593001_front_a01_@2.png,https://www.loblaws.ca/lemon/p/20028593001_EA
Food,Tomato on the Vine Red ( 1 Bunch),15,$3.12,,None,https://assets.shop.loblaws.ca/products/20026703001/b1/en/front/20026703001_front_a01_@2.png,https://www.loblaws.ca/tomato-on-the-vine-red-1-bunch/p/20026703001_KG
Food,Tomato Beefsteak Red,16,$1.18,,None,https://assets.shop.loblaws.ca/products/20426141001/b1/en/front/20426141001_front_a01_@2.png,https://www.loblaws.ca/tomato-beefsteak-red/p/20426141001_KG
Food,Carrots 3Lb,17,$2.49,,None,https://assets.shop.loblaws.ca/products/20600927001/b1/en/front/20600927001_front_a01_@2.png,https://www.loblaws.ca/carrots-3lb/p/20600927001_EA
Food,Hass Avocados Bag,18,$3.99,,None,https://assets.shop.loblaws.ca/products/20142232001/b1/en/front/20142232001_front_a01_@2.png,https://www.loblaws.ca/hass-avocados-bag/p/20142232001_EA
Food,Cilantro,19,$0.99,$2.49,None,https://assets.shop.loblaws.ca/products/20091825001/b1/en/front/20091825001_front_a01_@2.png,https://www.loblaws.ca/cilantro/p/20091825001_EA
Food,Red Peppers,20,$2.11,,None,https://assets.shop.loblaws.ca/products/20007535001/b1/en/front/20007535001_front_a01_@2.png,https://www.loblaws.ca/red-peppers/p/20007535001_KG
Food,Organic Bananas- Bunch,21,$2.16,,None,https://assets.shop.loblaws.ca/products/20139509001/b1/en/front/20139509001_front_a01_@2.png,https://www.loblaws.ca/organic-bananas-bunch/p/20139509001_KG
Food,Sweet Green Peppers,22,$1.54,,None,https://assets.shop.loblaws.ca/products/20425893001/b1/en/front/20425893001_front_a01_@2.png,https://www.loblaws.ca/sweet-green-peppers/p/20425893001_KG
Food,Romaine Heart - 3 Pack,23,$4.99,,None,https://assets.shop.loblaws.ca/products/20067389001/b1/en/front/20067389001_front_a01_@2.png,https://www.loblaws.ca/romaine-heart-3-pack/p/20067389001_EA
Food,Partly Skimmed Milk 2% MF,24,$4.69,,None,https://assets.shop.loblaws.ca/products/20188873/b1/en/front/20188873_front_a01_@2.png,https://www.loblaws.ca/partly-skimmed-milk-2-mf/p/20188873_EA
Food,Roma Tomatoes,25,$0.53,,None,https://assets.shop.loblaws.ca/products/20143381001/b1/en/front/20143381001_front_a01_@2.png,https://www.loblaws.ca/roma-tomatoes/p/20143381001_KG
Food,Brussels Sprouts,26,$0.16,$0.26,None,https://assets.shop.loblaws.ca/products/20036155001/b1/en/front/20036155001_front_a01_@2.png,https://www.loblaws.ca/brussels-sprouts/p/20036155001_KG
Food,Strawberries 2LB,27,$7.99,,None,https://assets.shop.loblaws.ca/products/20069661001/b1/en/front/20069661001_front_a01_@2.png,https://www.loblaws.ca/strawberries-2lb/p/20069661001_EA
Food,Red Onion,28,$1.62,,None,https://assets.shop.loblaws.ca/products/20134101001/b1/en/front/20134101001_front_a01_@2.png,https://www.loblaws.ca/red-onion/p/20134101001_KG
Food,Broccoli Crowns,29,$2.50,,None,https://assets.shop.loblaws.ca/products/20026161001/b1/en/front/20026161001_front_a01_@2.png,https://www.loblaws.ca/broccoli-crowns/p/20026161001_KG
Food,Stove Top Stuffing Turkey,30,$2.29,,None,https://assets.shop.loblaws.ca/products/20310507001/b1/en/front/20310507001_front_a01_@2.png,https://www.loblaws.ca/stove-top-stuffing-turkey/p/20310507001_EA
