Category,Product,Product ID,Price,Old Price,Description,Image URL,Product URL
Food,Choc-O-Macs,151,$4.99,,Product Number: 20018648_EA,https://assets.shop.loblaws.ca/products/20018648/b1/en/front/20018648_front_a01_@2.png,https://www.loblaws.ca/choc-o-macs/p/20018648_EA
Food,Red Beans- Small,76,$3.99,,Product Number: 20125770_EA,https://assets.shop.loblaws.ca/products/20125770/b1/en/front/20125770_front_a01_@2.png,https://www.loblaws.ca/red-beans-small/p/20125770_EA
Food,Strawberry Syrup,226,$4.99,,Wake up your milk with NESQUIK Strawberry Syrup (510 ml) - NEW recipe & look; with the same great taste! Proudly prepared in Canada and made with no artificial flavours- colours or sweeteners. It’s also enriched with iron to promote the maintenance of your child’s good health. Enjoy as part of a balanced breakfast or afternoon snack- with the taste your child will love. It’s quick and easy: simply squeeze- stir- and enjoy for a delicious glass of fruity- strawberry-flavoured milk. NESQUIK is the fun & delicious way to enjoy the nutritious benefits of milk![newline]NESQUIK Strawberry Syrup (510 ml) wakes up your milk with natural flavours of Strawberry[newline]Made with no artificial flavours- colours- or sweeteners[newline]Enriched with iron to promote the maintenance of your child’s good health[newline]Enjoy in the morning or afternoon with a meal- or just on its own[newline]Perfect to mix with both milk or non-dairy alternatives[newline]Product Number: 20320167004_EA,https://assets.shop.loblaws.ca/products/20320167004/b1/en/front/20320167004_front_a01_@2.png,https://www.loblaws.ca/strawberry-syrup/p/20320167004_EA
Food,Bananas- Bunch,1,$1.45,,*Average bunch has 6-8 bananas.[newline]Bananas are typically 6-10 inches long and have a green peel when unripe. They taste best when the peel turns yellow and is speckled with dark spots. [newline]Product Number: 20175355001_KG,https://assets.shop.loblaws.ca/products/20175355001/b1/en/front/20175355001_front_a01_@2.png,https://www.loblaws.ca/bananas-bunch/p/20175355001_KG
Food,Falafels,227,$6.99,,A traditional Middle Eastern specialty prepared with chickpeas- onions- cilantro and spices- PC Blue Menu Falafels are excellent in sandwiches[newline]Product Number: 20327255_EA,https://assets.shop.loblaws.ca/products/20327255/b1/en/front/20327255_front_a01_@2.png,https://www.loblaws.ca/falafels/p/20327255_EA
Food,Whole Grain Brown Rice,152,$5.49,,Brown rice has just the outer husk of the grain removed- which gives it a light brown colour- nutty flavour- and chewy texture.[newline]Product Number: 20117584_EA,https://assets.shop.loblaws.ca/products/20117584/b1/en/front/20117584_front_a01_@2.png,https://www.loblaws.ca/whole-grain-brown-rice/p/20117584_EA
Food,English Cucumber,2,$1.69,,English (or hothouse) cucumbers are cylindrical green-skinned fruit with a crisp white flesh and edible seeds. English cucumbers are typically enjoyed raw and can be peeled or eaten with the skin on. Add sliced cucumber to your next vegetable platter or toss with mint and lemon juice for a refreshing salad.[newline]Product Number: 20070132001_EA,https://assets.shop.loblaws.ca/products/20070132001/b1/en/front/20070132001_front_a01_@2.png,https://www.loblaws.ca/english-cucumber/p/20070132001_EA
Food,Canola OIL,77,$8.99,$9.99,100% Pure Mazola Canola Oil Is A Wise Choice For Todays Lifestyles. Not Only Does Mazola Provide Superior Performance In Frying- Cooking- Baking And Dressings But It Contains No Additives Or Preservatives And Is Low In Saturated And Trans Fats! A Healthy Diet Low In Saturated And Trans Fats May Reduce The Risk Of Heart Disease.[newline]Product Number: 20092556_EA,https://assets.shop.loblaws.ca/products/20092556/b1/en/front/20092556_front_a01_@2.png,https://www.loblaws.ca/canola-oil/p/20092556_EA
Food,Plant Based Cheddar-Style Slices,153,$5.99,,A plant based alternative to cheddar that melts with that signature gooey factor? Yeah- we did that. We carefully selected the perfect ingredients to make sure our cheddar-style slices have the subtle sharpness and creamy texture you want for cold sandwiches- while going all warm and melty in grilled cheese- tuna melts and breakfast sandwiches- and on top of vegan burgers.[newline]Product Number: 21208918_EA,https://assets.shop.loblaws.ca/products/21208918/b1/en/front/21208918_front_a01_@2.png,https://www.loblaws.ca/plant-based-cheddar-style-slices/p/21208918_EA
Food,Black Forest Ham,228,$5.00,,Ham is the thick cut of meat from a pig's hind leg. It's commonly cured and sometimes smoked for flavour before being sold fresh- partially cooked- or cooked. As a deli meat- ham makes for a classic sandwich filling. Enjoy sliced ham on a croissant with your favourite cheese.[newline]Product Number: 20817362_EA,https://assets.shop.loblaws.ca/products/20817362/b1/en/front/20817362_front_a01_@2.png,https://www.loblaws.ca/black-forest-ham/p/20817362_EA
Food,Green Onion,3,$1.49,,Green onions have a firm white base with a small rounded bulb and crisp bright green tops. Scallions are similar but have a straighter white base and slightly milder flavour. Chop fresh green onions for salads or pair with mushrooms for a tart or omelette.[newline]Product Number: 20107500001_EA,https://assets.shop.loblaws.ca/products/20107500001/b1/en/front/20107500001_front_a01_@2.png,https://www.loblaws.ca/green-onion/p/20107500001_EA
